Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
2021,July-Sept,1038704,6042273.0,332598,Black,F,Aged 18 to 24 years,Not a youth,43,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,25477
2021,Oct-Dec,1022358,6003458.0,325465,Black,F,Aged 25 to 34 years,Not a youth,51,0,1,Police Category - Administrative,0,0,0,0,0,0,,,,,,50895
2021,Oct-Dec,1037906,6025077.0,319130,Black,F,Aged 55 to 64 years,Not a youth,XX,0,0,Robbery/Theft,0,0,0,0,0,1,,,,,,64784
2021,Apr-June,1038726,6014476.0,330123,Black,F,Aged 35 to 44 years,Not a youth,43,0,0,Robbery/Theft,0,1,0,0,0,0,,,,,,28664
2021,Jan-Mar,1030305,6031831.0,304630,Black,M,Aged 35 to 44 years,Not a youth,43,0,0,Warrant,0,0,0,0,0,0,,,,,,28415
2021,July-Sept,1037229,6029912.0,307740,Black,F,Aged 35 to 44 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,0,,,,,,15443
2021,July-Sept,1011260,6060835.0,319614,Black,F,Aged 25 to 34 years,Not a youth,43,0,1,Assault,0,0,0,0,0,1,,,,,,4737
2021,Apr-June,1010144,6009787.0,314994,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Harassment/Threatening,0,0,0,0,0,1,,,,,,4844
2021,July-Sept,1038954,6042055.0,301412,Black,F,Aged 25 to 34 years,Not a youth,41,0,1,Impaired,0,0,0,0,0,0,,,,,,23828
2021,Jan-Mar,1004050,6011221.0,316375,Black,F,Aged 25 to 34 years,Not a youth,12,0,1,Drug Related,0,0,0,0,0,0,,,,,,60616
2021,Oct-Dec,1019186,6059692.0,319864,Black,M,Aged 35 to 44 years,Not a youth,43,0,0,Assault,0,0,0,0,0,1,,,,,,61360
